entities: 131  relations: 5  max_triples: 5
Epoch 143/300 | Total   0.4544 | CE   0.0978 | KL   0.3566
Epoch 144/300 | Total   0.4542 | CE   0.0977 | KL   0.3565
Epoch 145/300 | Total   0.4547 | CE   0.0975 | KL   0.3571
Epoch 146/300 | Total   0.4535 | CE   0.0971 | KL   0.3563
Epoch 147/300 | Total   0.4536 | CE   0.0972 | KL   0.3564
Epoch 148/300 | Total   0.4542 | CE   0.0966 | KL   0.3576
Epoch 149/300 | Total   0.4537 | CE   0.0968 | KL   0.3569
Epoch 150/300 | Total   0.4529 | CE   0.0965 | KL   0.3564
Epoch 151/300 | Total   0.0031 | CE   0.0031 | KL   1.8602
Epoch 152/300 | Total   0.0222 | CE   0.0027 | KL   0.7314
Epoch 153/300 | Total   0.0362 | CE   0.0042 | KL   0.6003
Epoch 154/300 | Total   0.0513 | CE   0.0057 | KL   0.5704
Epoch 155/300 | Total   0.0659 | CE   0.0074 | KL   0.5487
Epoch 156/300 | Total   0.0804 | CE   0.0091 | KL   0.5347
Epoch 157/300 | Total   0.0950 | CE   0.0109 | KL   0.5258
Epoch 158/300 | Total   0.1089 | CE   0.0127 | KL   0.5152
Epoch 159/300 | Total   0.1228 | CE   0.0147 | KL   0.5068
Epoch 160/300 | Total   0.1361 | CE   0.0166 | KL   0.4981
Epoch 161/300 | Total   0.1490 | CE   0.0183 | KL   0.4902
Epoch 162/300 | Total   0.1624 | CE   0.0204 | KL   0.4839
Epoch 163/300 | Total   0.1745 | CE   0.0224 | KL   0.4755
Epoch 164/300 | Total   0.1869 | CE   0.0243 | KL   0.4688
Epoch 165/300 | Total   0.1992 | CE   0.0262 | KL   0.4634
Epoch 166/300 | Total   0.2111 | CE   0.0285 | KL   0.4567
Epoch 167/300 | Total   0.2234 | CE   0.0307 | KL   0.4516
Epoch 168/300 | Total   0.2351 | CE   0.0327 | KL   0.4465
Epoch 169/300 | Total   0.2460 | CE   0.0347 | KL   0.4402
Epoch 170/300 | Total   0.2578 | CE   0.0367 | KL   0.4364
Epoch 171/300 | Total   0.2687 | CE   0.0388 | KL   0.4310
Epoch 172/300 | Total   0.2792 | CE   0.0412 | KL   0.4250
Epoch 173/300 | Total   0.2900 | CE   0.0434 | KL   0.4204
Epoch 174/300 | Total   0.3013 | CE   0.0463 | KL   0.4158
Epoch 175/300 | Total   0.3123 | CE   0.0486 | KL   0.4122
